CampaignID,ResourceID
15,13
14,9
19,14
8,12
1,9
8,6
14,6
10,1
7,13
5,5
17,5
1,14
7,4
10,10
16,13
15,7
8,6
19,12
6,9
1,13
10,3
20,11
10,13
16,3
16,1
2,2
12,14
5,11
12,4
8,7
1,3
11,7
14,3
10,5
6,10
18,7
14,9
7,11
19,10
3,15
12,4
8,15
11,1
19,10
17,7
15,3
15,7
4,5
7,8
9,3
18,6
16,13
7,1
13,7
5,6
17,11
5,15
10,12
8,2
1,4
16,15
12,14
19,15
15,13
6,2
19,8
18,8
1,11
20,4
2,9
12,5
10,3
15,2
13,12
3,12
12,1
1,3
5,11
2,3
18,1
19,12
19,14
11,12
14,15
10,6
14,11
17,5
7,13
1,15
10,3
14,12
5,11
5,1
11,5
15,9
5,14
18,11
4,5
7,8
9,7
