VolunteerID,CampaignID
31,5
21,6
1,9
16,10
28,6
9,7
33,7
15,3
9,19
33,16
8,7
40,5
8,20
26,16
19,8
30,11
29,1
23,17
20,13
21,8
14,2
20,9
40,16
29,6
24,12
35,4
36,5
16,16
35,11
6,12
30,12
39,17
1,1
21,11
18,17
26,4
28,17
25,13
28,2
25,14
13,13
18,20
4,14
10,9
34,11
21,1
9,20
35,18
18,1
23,8
35,4
39,8
20,7
25,10
27,11
37,11
1,4
34,2
11,3
6,12
20,15
33,20
27,2
6,17
12,9
35,12
25,5
20,7
13,19
34,5
13,11
32,11
18,2
17,8
23,6
13,8
22,12
20,11
4,14
8,7
16,15
34,12
37,18
11,7
19,13
4,20
15,2
30,17
28,20
34,8
7,18
15,4
16,8
28,15
32,11
38,14
7,4
37,4
36,7
2,11
